cliente,interesses
cliente0,"'Calendários ecológicos e produtos de papel reciclado, Mochilas sustentáveis feitas de materiais reciclados, Lanternas solares recarregáveis, Alimentos orgânicos, como frutas, legumes e grãos, Carregadores solares para dispositivos móveis'"
cliente1,"'Lâmpadas LED de baixo consumo de energia, Cremes faciais livres de parabenos e produtos químicos, Meias de fibra de bambu, Luminárias de LED de baixo consumo de energia'"
cliente2,"'Painéis solares para instalação em residências, Jeans feitos com materiais reciclados'"
cliente3,"'Shampoo sólido e condicionador em barra, Escova de dentes de bambu, Desodorante natural em embalagem de papel, Sabonete artesanal vegano'"
cliente4,"'Bicicleta elétrica, Capacete de ciclista com materiais reciclados, Luvas de ciclismo ecológicas'"
cliente5,"'Garrafa de água reutilizável de aço inoxidável, Filtro de água para torneira, Sacolas reutilizáveis para compras'"
cliente6,"'Caderno de papel reciclado, Canetas feitas de materiais reciclados, Lápis de cor ecológicos'"
cliente7,"'Painéis solares para aquecimento de água, Lâmpadas LED inteligentes, Isolamento térmico para janelas'"
cliente8,"'Alimentos orgânicos a granel, Embalagens reutilizáveis para alimentos, Compostor doméstico'"
cliente9,"'Roupas de algodão orgânico, Sapatos veganos, Acessórios de moda sustentável'"
cliente10,"'Detergente ecológico para roupas, Amaciante natural, Sabão em pó biodegradável'"
cliente11,"'Utensílios de cozinha de bambu, Potes de vidro para armazenamento de alimentos, Panos de prato reutilizáveis'"
cliente12,"'Móveis de madeira de demolição, Decoração de interiores com materiais reciclados, Tintas naturais para parede'"
cliente13,"'Cosméticos naturais e veganos, Maquiagem orgânica, Produtos de higiene pessoal sem plástico'"
cliente14,"'Brinquedos educativos de madeira, Brinquedos ecológicos para bebês, Jogos de tabuleiro sustentáveis'"
cliente15,"'Livros sobre sustentabilidade, Assinatura de revista digital, eBooks'"
cliente16,"'Mudas de árvores frutíferas, Sementes orgânicas, Ferramentas de jardinagem ecológicas'"
cliente17,"'Ração para animais de estimação vegana, Brinquedos ecológicos para pets, Acessórios sustentáveis para animais'"
cliente18,"'Energia solar para empresas, Consultoria em sustentabilidade, Software de gestão ambiental'"
cliente19,"'Cursos online sobre sustentabilidade, Palestras sobre meio ambiente, Workshops de educação ambiental'"
cliente20,"'Doação para ONGs ambientais, Voluntariado em projetos ecológicos, Participação em campanhas de conscientização'"
cliente21,"'Filtro de ar para ambientes internos, Purificador de água, Umidificador de ar ecológico'"
cliente22,"'Cafeteira italiana, Coador de café reutilizável, Café orgânico em grãos'"
cliente23,"'Chaleira elétrica de baixo consumo, Infusor de chá, Chá orgânico a granel'"
cliente24,"'Torneira com sensor de movimento, Vaso sanitário com sistema de descarga inteligente, Redutor de vazão para chuveiro'"
cliente25,"'Aspirador de pó com filtro HEPA, Panos de limpeza reutilizáveis, Produtos de limpeza ecológicos para casa'"
cliente26,"'Escova de cabelo de madeira, Pente de bambu, Acessórios para cabelo ecológicos'"
cliente27,"'Barbeador de segurança com lâminas reutilizáveis, Creme de barbear natural, Loção pós-barba vegana'"
cliente28,"'Absorventes reutilizáveis, Coletor menstrual, Lenços demaquilantes reutilizáveis'"
cliente29,"'Fraldas ecológicas, Lenços umedecidos biodegradáveis, Produtos para bebês veganos'"
cliente30,"'Garrafas térmicas, Marmitas reutilizáveis, Talheres de bambu'"
cliente31,"'Isopor biodegradável, Embalagens de papelão reciclado, Sacolas de papel kraft'"
cliente32,"'Horta vertical, Minhocário, Compostagem de resíduos orgânicos'"
cliente33,"'Telhas ecológicas, Tijolos de terra crua, Madeira de reflorestamento'"
cliente34,"'Lareira ecológica, Aquecedor solar, Isolamento acústico natural'"
cliente35,"'Tintas ecológicas para parede, Revestimentos naturais, Vernizes à base de água'"
cliente36,"'Pisos de bambu, Carpetes ecológicos, Tapetes de fibras naturais'"
cliente37,"'Cortinas de tecido orgânico, Persianas de madeira sustentável, Luminárias de papel reciclado'"
cliente38,"'Móveis de jardim ecológicos, Vasos de plantas biodegradáveis, Decoração de jardim sustentável'"
cliente39,"'Sistema de captação de água da chuva, Irrigação inteligente, Reuso de água cinza'"
cliente40,"'Energia eólica residencial, Biogás, Gerador de energia solar'"
cliente41,"'Carro elétrico, Carro híbrido, Bicicleta elétrica compartilhada'"
cliente42,"'Transporte público, Carona solidária, Caminhada'"
cliente43,"'Ecoturismo, Turismo sustentável, Viagens ecológicas'"
cliente44,"'Alimentos orgânicos produzidos localmente, Feiras de produtores, Agricultura familiar'"
cliente45,"'Consumo consciente, Minimalismo, Economia circular'"
cliente46,"'Reciclagem, Compostagem, Coleta seletiva'"
cliente47,"'Educação ambiental, Preservação da natureza, Ações para o clima'"
cliente48,"'Vestuário vintage, Brechós, Reparo de roupas'"
cliente49,"'Compartilhamento de bens, Aluguel de produtos, Colaborativismo'"
cliente50,"'Artesanato com materiais reciclados, Upcycling, DIY'"
cliente51,"'Produtos de limpeza ecológicos para empresas, Desinfetante natural, Papel higiênico reciclado'"
cliente52,"'Copos reutilizáveis, Talheres de bambu para escritório, Garrafas de água personalizadas'"
cliente53,"'Impressoras ecológicas, Cartuchos de tinta recarregáveis, Papel reciclado para escritório'"
cliente54,"'Mobiliário de escritório ergonômico e sustentável, Divisórias de ambientes ecológicas, Plantas para escritório'"
cliente55,"'Software de gestão de energia, Sensores de presença, Iluminação inteligente para escritórios'"
cliente56,"'Telhado verde, Jardins verticais, Hortas urbanas'"
cliente57,"'Compostagem de resíduos orgânicos em empresas, Reciclagem de eletrônicos, Gestão de resíduos'"
cliente58,"'Logística reversa, Embalagens retornáveis, Fretes ecológicos'"
cliente59,"'Marketing verde, Publicidade responsável, Selos de certificação ambiental'"
cliente60,"'Investimento socialmente responsável, Empresas B, Greenwashing'"
cliente61,"'Políticas públicas ambientais, Legislação ambiental, Acordos internacionais'"
cliente62,"'Biodiversidade, Conservação de espécies, Áreas protegidas'"
cliente63,"'Mudanças climáticas, Aquecimento global, Efeito estufa'"
cliente64,"'Poluição do ar, Poluição da água, Contaminação do solo'"
cliente65,"'Desmatamento, Queimadas, Mineração'"
cliente66,"'Consumo excessivo, Obsolescência programada, Descarte de resíduos'"
cliente67,"'Agricultura orgânica, Agroecologia, Permacultura'"
cliente68,"'Energias renováveis, Eficiência energética, Biocombustíveis'"
cliente69,"'Construção sustentável, Arquitetura bioclimática, Casas ecológicas'"
cliente70,"'Moda ética, Slow fashion, Design sustentável'"
cliente71,"'Tecnologia verde, Inovação sustentável, Biomimética'"
cliente72,"'Economia verde, Desenvolvimento sustentável, Responsabilidade social'"
cliente73,"'Veganismo, Vegetarianismo, Reducetarianismo'"
cliente74,"'Bem-estar animal, Direitos animais, Proteção animal'"
cliente75,"'Saúde ambiental, Toxicologia ambiental, Epidemiologia ambiental'"
cliente76,"'Justiça ambiental, Racismo ambiental, Movimentos sociais'"
cliente77,"'Arte e sustentabilidade, Cultura e meio ambiente, Ecocinema'"
cliente78,"'Espiritualidade e natureza, Ecologia profunda, Filosofia ambiental'"
cliente79,"'Livros infantis sobre sustentabilidade, Jogos educativos sobre meio ambiente, Desenhos animados ecológicos'"
cliente80,"'Escolas sustentáveis, Educação ambiental para crianças, Universidades verdes'"
cliente81,"'Comunidades sustentáveis, Ecovilas, Cidades inteligentes'"
cliente82,"'Co-housing, Moradia colaborativa, Bioconstrução'"
cliente83,"'Transporte solidário, Bicicletada, Ciclovias'"
cliente84,"'Agricultura urbana, Hortas comunitárias, Guerrilha verde'"
cliente85,"'Energia solar comunitária, Cooperativas de energia, Microgeração distribuída'"
cliente86,"'Bancos de tempo, Moedas sociais, Trocas solidárias'"
cliente87,"'Software livre, Hardware aberto, Cultura maker'"
cliente88,"'Ciência cidadã, Monitoramento ambiental participativo, Hackathons ambientais'"
cliente89,"'Festival de sustentabilidade, Feira de produtos ecológicos, Conferência ambiental'"
